111,dated iron dagger,dated iron daggers,0,,Dated Iron Dagger,30412,29,1
112,dated iron spatha,dated iron spathae,0,,Dated Iron Spatha,30402,31,1
113,dated maddening dagger,dated maddening daggers,0,,Dated Maddening Dagger,30414,34,1
114,dated poison dagger,dated poison daggers,0,,Dated Poison Dagger,30414,34,1
115,dated elm macuahuitl,dated elm macuahuimeh,0,,Dated Elm Macuahuitl,30419,35,1
116,dated bee spatha,dated bee spathae,0,,Dated Bee Spatha,30404,36,1
117,dated iron falchion,dated iron falchions,0,,Dated Iron Falchion,30415,38,1
118,dated iron shortsword,dated iron shortswords,0,,Dated Iron Shortsword,30405,42,1
119,dated walnut macuahuitl,dated walnut macuahuimeh,0,,Dated Walnut Macuahuitl,30418,45,1
120,dated iron longsword,dated iron longswords,0,,Dated Iron Longsword,30420,46,1
121,dated toothed falchion,dated toothed falchions,0,,Dated Toothed Falchion,30416,48,1
122,dated plumed walnut macuahuitl,dated plumed walnut macuahuimeh,0,,Dated Plumed Walnut Macuahuitl,30424,48,1
123,dated oak macuahuitl,dated oak macuahuimeh,0,,Dated Oak Macuahuitl,30423,49,1
124,pair of dated bone hora,pairs of dated bone hora,0,,Dated Bone Hora,31005,6,1
125,pair of dated leather himantes,pairs of dated leather himantes,0,,Dated Leather Himantes,31008,9,1
126,pair of dated bronze knuckles,pairs of dated bronze knuckles,0,,Dated Bronze Knuckles,31013,13,1
127,pair of dated dodoskin cesti,pairs of dated dodoskin cesti,0,,Dated Dodoskin Cesti,31009,19,1
128,pair of dated brass knuckles,pairs of dated brass knuckles,0,,Dated Brass Knuckles,31015,23,1
129,pair of dated tortoiseshell hora,pairs of dated tortoiseshell hora,0,,Dated Tortoiseshell Hora,31006,26,1
130,pair of dated toadskin cesti,pairs of dated toadskin cesti,0,,Dated Toadskin Cesti,31012,29,1
131,pair of dated spiked knuckles,pairs of dated spiked knuckles,0,,Dated Spiked Knuckles,31014,33,1
132,pair of dated boarskin himantes,pairs of dated boarskin himantes,0,,Dated Boarskin Himantes,31010,39,1
133,pair of dated iron baghnakhs,pairs of dated iron baghnakhs,0,,Dated Iron Baghnakhs,31001,42,1
134,pair of dated crabshell hora,pairs of dated crabshell hora,0,,Dated Crabshell Hora,31007,46,1
135,pair of dated smothering baghnakhs,pairs of dated smothering baghnakhs,0,,Dated Smothering Baghnakhs,31001,47,1
136,pair of dated disabling baghnakhs,pairs of dated disabling baghnakhs,0,,Dated Disabling Baghnakhs,31001,47,1
137,pair of dated peiste cesti,pairs of dated peiste cesti,0,,Dated Peiste Cesti,31011,49,1
138,pair of dated jade hora,pairs of dated jade hora,0,,Dated Jade Hora,31016,50,1
139,dated bronze war axe,dated bronze war axes,0,,Dated Bronze War Axe,31401,6,1
140,dated bronze labrys,dated bronze labryses,0,,Dated Bronze Labrys,31403,10,1
141,dated spiked bronze labrys,dated spiked bronze labryses,0,,Dated Spiked Bronze Labrys,31405,20,1
142,dated storm axe,dated storm axes,0,,Dated Storm Axe,31407,21,1
143,dated iron war axe,dated iron war axes,0,,Dated Iron War Axe,31402,26,1
144,dated iron labrys,dated iron labryses,0,,Dated Iron Labrys,31404,30,1
145,dated spiked iron labrys,dated spiked iron labryses,0,,Dated Spiked Iron Labrys,31406,35,1
146,dated inferno axe,dated inferno axes,0,,Dated Inferno Axe,31408,36,1
147,dated iron bhuj,dated iron bhuj,0,,Dated Iron Bhuj,31410,38,1
148,dated bronze bardiche,dated bronze bardiches,0,,Dated Bronze Bardiche,31412,42,1
149,dated iron bill,dated iron bills,0,,Dated Iron Bill,31416,42,1
150,dated thunderstorm axe,dated thunderstorm axes,0,,Dated Thunderstorm Axe,31413,46,1
151,dated engraved bhuj,dated engraved bhuj,0,,Dated Engraved Bhuj,31411,48,1
152,dated bronze spear,dated bronze spears,0,,Dated Bronze Spear,31806,6,1
153,dated harpoon,dated harpoons,0,,Dated Harpoon,31810,9,1
154,dated feathered harpoon,dated feathered harpoons,0,,Dated Feathered Harpoon,31811,14,1
155,dated brass spear,dated brass spears,0,,Dated Brass Spear,31815,16,1
156,dated iron spear,dated iron spears,0,,Dated Iron Spear,31807,26,1
157,dated iron lance,dated iron lances,0,,Dated Iron Lance,31803,28,1
158,dated tortoiseshell harpoon,dated tortoiseshell harpoons,0,,Dated Tortoiseshell Harpoon,31812,29,1
159,dated iron guisarme,dated iron guisarmes,0,,Dated Iron Guisarme,31817,32,1
160,dated battle fork,dated battle forks,0,,Dated Battle Fork,31808,36,1
161,dated heavy iron lance,dated heavy iron lances,0,,Dated Heavy Iron Lance,31814,38,1
162,dated yarzonshell harpoon,dated yarzonshell harpoons,0,,Dated Yarzonshell Harpoon,31813,39,1
163,dated jarl's guisarme,dated jarl's guisarmes,0,,Dated Jarl's Guisarme,31818,42,1
164,dated banneret lance,dated banneret lances,0,,Dated Banneret Lance,31804,48,1
165,dated iron halberd,dated iron halberds,0,,Dated Iron Halberd,31809,50,1
166,dated willow shortbow,dated willow shortbows,0,,Dated Willow Shortbow,32201,6,1
167,dated maple longbow,dated maple longbows,0,,Dated Maple Longbow,32205,8,1
168,dated elm shortbow,dated elm shortbows,0,,Dated Elm Shortbow,32202,11,1
169,dated cavalry bow,dated cavalry bows,0,,Dated Cavalry Bow,32210,14,1
170,dated wrapped maple longbow,dated wrapped maple longbows,0,,Dated Wrapped Maple Longbow,32207,18,1
171,dated plumed willow shortbow,dated plumed willow shortbows,0,,Dated Plumed Willow Shortbow,32203,21,1
172,dated willow composite bow,dated willow composite bows,0,,Dated Willow Composite Bow,32215,22,1
173,dated ironclad cavalry bow,dated ironclad cavalry bows,0,,Dated Ironclad Cavalry Bow,32211,24,1
174,dated ash longbow,dated ash longbows,0,,Dated Ash Longbow,32206,28,1
175,dated elm velocity bow,dated elm velocity bows,0,,Dated Elm Velocity Bow,32209,31,1
176,dated weevil bow,dated weevil bows,0,,Dated Weevil Bow,32218,32,1
177,dated armored cavalry bow,dated armored cavalry bows,0,,Dated Armored Cavalry Bow,32213,34,1
178,dated wrapped ash longbow,dated wrapped ash longbows,0,,Dated Wrapped Ash Longbow,32208,38,1
179,dated oak composite bow,dated oak composite bows,0,,Dated Oak Composite Bow,32214,42,1
180,dated yew longbow,dated yew longbows,0,,Dated Yew Longbow,32221,43,1
181,dated crab bow,dated crab bows,0,,Dated Crab Bow,32217,47,1
182,dated maple wand,dated maple wands,0,,Dated Maple Wand,32401,7,1
183,dated budding maple wand,dated budding maple wands,0,,Dated Budding Maple Wand,32403,12,1
184,dated maple wand of flames,dated maple wands of flames,0,,Dated Maple Wand of Flames,32405,17,1
185,dated maple wand of gales,dated maple wands of gales,0,,Dated Maple Wand of Gales,32406,17,1
186,dated maple wand of storms,dated maple wands of storms,0,,Dated Maple Wand of Storms,32407,17,1
187,dated maple wand of tremors,dated maple wands of tremors,0,,Dated Maple Wand of Tremors,32408,17,1
188,dated maple wand of tides,dated maple wands of tides,0,,Dated Maple Wand of Tides,32409,17,1
189,dated maple wand of frost,dated maple wands of frost,0,,Dated Maple Wand of Frost,32410,17,1
190,dated willow wand,dated willow wands,0,,Dated Willow Wand,32402,22,1
191,dated budding willow wand,dated budding willow wands,0,,Dated Budding Willow Wand,32412,27,1
192,dated willow wand of flames,dated willow wands of flames,0,,Dated Willow Wand of Flames,32405,32,1
193,dated willow wand of gales,dated willow wands of gales,0,,Dated Willow Wand of Gales,32406,32,1
194,dated willow wand of storms,dated willow wands of storms,0,,Dated Willow Wand of Storms,32407,32,1
195,dated willow wand of tremors,dated willow wands of tremors,0,,Dated Willow Wand of Tremors,32408,32,1
196,dated willow wand of tides,dated willow wands of tides,0,,Dated Willow Wand of Tides,32409,32,1
197,dated willow wand of frost,dated willow wands of frost,0,,Dated Willow Wand of Frost,32410,32,1
198,dated walnut wand,dated walnut wands,0,,Dated Walnut Wand,32411,37,1
199,dated budding walnut wand,dated budding walnut wands,0,,Dated Budding Walnut Wand,32404,42,1
200,dated walnut wand of flames,dated walnut wands of flames,0,,Dated Walnut Wand of Flames,32405,47,1
201,dated walnut wand of gales,dated walnut wands of gales,0,,Dated Walnut Wand of Gales,32406,47,1
202,dated walnut wand of storms,dated walnut wands of storms,0,,Dated Walnut Wand of Storms,32407,47,1
203,dated walnut wand of tremors,dated walnut wands of tremors,0,,Dated Walnut Wand of Tremors,32408,47,1
204,dated walnut wand of tides,dated walnut wands of tides,0,,Dated Walnut Wand of Tides,32409,47,1
205,dated walnut wand of frost,dated walnut wands of frost,0,,Dated Walnut Wand of Frost,32410,47,1
206,dated ash cane,dated ash canes,0,,Dated Ash Cane,32601,6,1
207,dated elm cane,dated elm canes,0,,Dated Elm Cane,32602,11,1
208,dated pine crook,dated pine crooks,0,,Dated Pine Crook,32607,18,1
209,dated pastoral elm cane,dated pastoral elm canes,0,,Dated Pastoral Elm Cane,32603,21,1
210,dated plumed pine crook,dated plumed pine crooks,0,,Dated Plumed Pine Crook,32608,23,1
211,dated mahogany radical,dated mahogany radicals,0,,Dated Mahogany Radical,32612,25,1
212,dated oak cane,dated oak canes,0,,Dated Oak Cane,32604,31,1
213,dated flambeau radical,dated flambeau radicals,0,,Dated Flambeau Radical,32615,35,1
214,dated yew crook,dated yew crooks,0,,Dated Yew Crook,32609,38,1
215,dated sprouting radical,dated sprouting radicals,0,,Dated Sprouting Radical,32614,38,1
216,dated pastoral oak cane,dated pastoral oak canes,0,,Dated Pastoral Oak Cane,32605,41,1
217,dated plumed yew crook,dated plumed yew crooks,0,,Dated Plumed Yew Crook,32610,43,1
218,dated jade crook,dated jade crooks,0,,Dated Jade Crook,32617,48,1
219,dated copper scepter,dated copper scepters,0,,Dated Copper Scepter,32801,6,1
220,dated decorated copper scepter,dated decorated copper scepters,0,,Dated Decorated Copper Scepter,32802,11,1
221,dated brass cudgel,dated brass cudgels,0,,Dated Brass Cudgel,32812,17,1
222,dated silver scepter,dated silver scepters,0,,Dated Silver Scepter,32803,21,1
223,dated brand,dated brands,0,,Dated Brand,32807,23,1
224,dated decorated silver scepter,dated decorated silver scepters,0,,Dated Decorated Silver Scepter,32804,31,1
225,dated iron cudgel,dated iron cudgels,0,,Dated Iron Cudgel,32811,37,1
226,dated ornate silver scepter,dated ornate silver scepters,0,,Dated Ornate Silver Scepter,32805,41,1
227,dated wind brand,dated wind brands,0,,Dated Wind Brand,32808,43,1
228,dated earth brand,dated earth brands,0,,Dated Earth Brand,32809,43,1
229,dated lightning brand,dated lightning brands,0,,Dated Lightning Brand,32810,43,1
230,dated ice brand,dated ice brands,0,,Dated Ice Brand,32813,43,1
231,dated fire brand,dated fire brands,0,,Dated Fire Brand,32814,43,1
232,dated water brand,dated water brands,0,,Dated Water Brand,32815,43,1
233,dated bone staff,dated bone staves,0,,Dated Bone Staff,33001,5,1
234,dated decorated bone staff,dated decorated bone staves,0,,Dated Decorated Bone Staff,33002,15,1
235,dated horn staff,dated horn staves,0,,Dated Horn Staff,33003,25,1
236,dated decorated horn staff,dated decorated horn staves,0,,Dated Decorated Horn Staff,33003,35,1
237,dated square maple shield,dated square maple shields,0,,Dated Square Maple Shield,30017,5,1
238,dated bronze hoplon,dated bronze hoplons,0,,Dated Bronze Hoplon,30021,9,1
239,dated round chestnut shield,dated round chestnut shields,0,,Dated Round Chestnut Shield,30001,11,1
240,dated bronze buckler,dated bronze bucklers,0,,Dated Bronze Buckler,30004,13,1
241,dated square ash shield,dated square ash shields,0,,Dated Square Ash Shield,30019,15,1
242,dated sheepskin targe,dated sheepskin targes,0,,Dated Sheepskin Targe,30007,17,1
243,dated bronze pelta,dated bronze peltae,0,,Dated Bronze Pelta,30022,19,1
244,dated warded round shield,dated warded round shields,0,,Dated Warded Round Shield,30011,21,1
245,dated ironclad bronze buckler,dated ironclad bronze bucklers,0,,Dated Ironclad Bronze Buckler,30005,23,1
246,dated bronze scutum,dated bronze scuta,0,,Dated Bronze Scutum,30003,28,1
247,dated iron hoplon,dated iron hoplons,0,,Dated Iron Hoplon,30023,29,1
248,dated round oak shield,dated round oak shields,0,,Dated Round Oak Shield,30002,31,1
249,dated leather targe,dated leather targes,0,,Dated Leather Targe,30008,32,1
250,dated decorated buckler,dated decorated bucklers,0,,Dated Decorated Buckler,30006,33,1
251,dated lantern shield,dated lantern shields,0,,Dated Lantern Shield,30015,34,1
252,dated iron scutum,dated iron scuta,0,,Dated Iron Scutum,30013,38,1
253,dated iron pelta,dated iron peltae,0,,Dated Iron Pelta,30024,39,1
254,dated serpent shield,dated serpent shields,0,,Dated Serpent Shield,30012,41,1
255,dated bladed lantern shield,dated bladed lantern shields,0,,Dated Bladed Lantern Shield,30016,44,1
256,dated raptorskin targe,dated raptorskin targes,0,,Dated Raptorskin Targe,30010,47,1
257,dated decorated iron scutum,dated decorated iron scuta,0,,Dated Decorated Iron Scutum,30014,48,1
258,dated bull hoplon,dated bull hoplons,0,,Dated Bull Hoplon,30025,49,1
259,dated bronze saw,dated bronze saws,0,,Dated Bronze Saw,35002,7,1
260,dated chocobotail saw,dated chocobotail saws,0,,Dated Chocobotail Saw,35003,12,1
261,dated fish saw,dated fish saws,0,,Dated Fish Saw,35003,17,1
262,dated iron saw,dated iron saws,0,,Dated Iron Saw,35004,22,1
263,dated bas-relief iron saw,dated bas-relief iron saws,0,,Dated Bas-relief Iron Saw,35006,32,1
264,dated crosscut saw,dated crosscut saws,0,,Dated Crosscut Saw,35007,37,1
265,dated iron chocobotail saw,dated iron chocobotail saws,0,,Dated Iron Chocobotail Saw,35005,42,1
266,dated bronze claw hammer,dated bronze claw hammers,0,,Dated Bronze Claw Hammer,35051,10,1
267,dated iron claw hammer,dated iron claw hammers,0,,Dated Iron Claw Hammer,35052,27,1
268,dated steel claw hammer,dated steel claw hammers,0,,Dated Steel Claw Hammer,35053,47,1
269,dated bronze cross-pein hammer,dated bronze cross-pein hammers,0,,Dated Bronze Cross-pein Hammer,35101,7,1
270,dated birdsbeak hammer,dated birdsbeak hammers,0,,Dated Birdsbeak Hammer,35103,12,1
271,dated fortified birdsbeak hammer,dated fortified birdsbeak hammers,0,,Dated Fortified Birdsbeak Hammer,35103,17,1
272,dated iron cross-pein hammer,dated iron cross-pein hammers,0,,Dated Iron Cross-pein Hammer,35102,22,1
273,dated crowsbeak hammer,dated crowsbeak hammers,0,,Dated Crowsbeak Hammer,35104,32,1
274,dated wrapped crowsbeak hammer,dated wrapped crowsbeak hammers,0,,Dated Wrapped Crowsbeak Hammer,35105,42,1
275,dated heavy crowsbeak hammer,dated heavy crowsbeak hammers,0,,Dated Heavy Crowsbeak Hammer,35107,47,1
276,dated bronze file,dated bronze files,0,,Dated Bronze File,35151,10,1
277,dated iron file,dated iron files,0,,Dated Iron File,35152,27,1
278,dated polished iron file,dated polished iron files,0,,Dated Polished Iron File,35152,37,1
279,dated bronze doming hammer,dated bronze doming hammers,0,,Dated Bronze Doming Hammer,35201,7,1
280,dated bronze raising hammer,dated bronze raising hammers,0,,Dated Bronze Raising Hammer,35204,12,1
281,dated tin bronze raising hammer,dated tin bronze raising hammers,0,,Dated Tin Bronze Raising Hammer,35204,17,1
282,dated iron doming hammer,dated iron doming hammers,0,,Dated Iron Doming Hammer,35202,22,1
283,dated iron raising hammer,dated iron raising hammers,0,,Dated Iron Raising Hammer,35205,32,1
284,dated wrapped iron raising hammer,dated wrapped iron raising hammers,0,,Dated Wrapped Iron Raising Hammer,35206,42,1
285,dated heavy-duty iron raising hammer,dated heavy-duty iron raising hammers,0,,Dated Heavy-duty Iron Raising Hammer,35206,47,1
286,pair of dated bronze pliers,pairs of dated bronze pliers,0,,Dated Bronze Pliers,35251,10,1
287,pair of dated iron pliers,pairs of dated iron pliers,0,,Dated Iron Pliers,35252,27,1
288,pair of dated steel pliers,pairs of dated steel pliers,0,,Dated Steel Pliers,35255,37,1
289,dated bronze chaser hammer,dated bronze chaser hammers,0,,Dated Bronze Chaser Hammer,35302,7,1
290,dated bronze ornamental hammer,dated bronze ornamental hammers,0,,Dated Bronze Ornamental Hammer,35304,12,1
291,dated tin bronze ornamental hammer,dated tin bronze ornamental hammers,0,,Dated Tin Bronze Ornamental Hammer,35304,17,1
292,dated iron chaser hammer,dated iron chaser hammers,0,,Dated Iron Chaser Hammer,35303,22,1
293,dated fortified iron chaser hammer,dated fortified iron chaser hammers,0,,Dated Fortified Iron Chaser Hammer,35303,32,1
294,dated iron ornamental hammer,dated iron ornamental hammers,0,,Dated Iron Ornamental Hammer,35305,42,1
295,dated steel chaser hammer,dated steel chaser hammers,0,,Dated Steel Chaser Hammer,35306,47,1
296,dated mudstone grinding wheel,dated mudstone grinding wheels,0,,Dated Mudstone Grinding Wheel,35351,10,1
297,dated ragstone grinding wheel,dated ragstone grinding wheels,0,,Dated Ragstone Grinding Wheel,35352,27,1
298,dated siltstone grinding wheel,dated siltstone grinding wheels,0,,Dated Siltstone Grinding Wheel,35353,37,1
299,dated bronze head knife,dated bronze head knives,0,,Dated Bronze Head Knife,35401,7,1
300,dated brass head knife,dated brass head knives,0,,Dated Brass Head Knife,35402,12,1
301,dated heavy-duty brass head knife,dated heavy-duty brass head knives,0,,Dated Heavy-duty Brass Head Knife,35402,17,1
302,dated iron round knife,dated iron round knives,0,,Dated Iron Round Knife,35405,22,1
303,dated iron head knife,dated iron head knives,0,,Dated Iron Head Knife,35406,32,1
304,dated darksilver head knife,dated darksilver head knives,0,,Dated Darksilver Head Knife,35403,42,1
305,dated steel round knife,dated steel round knives,0,,Dated Steel Round Knife,35405,47,1
306,dated bronze awl,dated bronze awls,0,,Dated Bronze Awl,35451,10,1
307,dated iron awl,dated iron awls,0,,Dated Iron Awl,35452,27,1
308,dated steel awl,dated steel awls,0,,Dated Steel Awl,35453,37,1
309,dated bronze needle,dated bronze needles,0,,Dated Bronze Needle,35501,7,1
310,dated hedgemole needle,dated hedgemole needles,0,,Dated Hedgemole Needle,35509,12,1
311,dated iron needle,dated iron needles,0,,Dated Iron Needle,35502,22,1
312,dated silver needle,dated silver needles,0,,Dated Silver Needle,35507,32,1
313,dated steel needle,dated steel needles,0,,Dated Steel Needle,35503,37,1
314,dated thousand needle,dated thousand needles,0,,Dated Thousand Needle,35508,42,1
315,dated maple spinning wheel,dated maple spinning wheels,0,,Dated Maple Spinning Wheel,35551,10,1
316,dated elm spinning wheel,dated elm spinning wheels,0,,Dated Elm Spinning Wheel,35553,17,1
317,dated walnut spinning wheel,dated walnut spinning wheels,0,,Dated Walnut Spinning Wheel,35552,27,1
318,dated oak spinning wheel,dated oak spinning wheels,0,,Dated Oak Spinning Wheel,35554,47,1
319,dated copper alembic,dated copper alembics,0,,Dated Copper Alembic,35601,7,1
320,dated brass alembic,dated brass alembics,0,,Dated Brass Alembic,35602,12,1
321,dated tin alembic,dated tin alembics,0,,Dated Tin Alembic,35601,17,1
322,dated iron alembic,dated iron alembics,0,,Dated Iron Alembic,35603,22,1
323,dated conical alembic,dated conical alembics,0,,Dated Conical Alembic,35605,32,1
324,dated silver alembic,dated silver alembics,0,,Dated Silver Alembic,35607,42,1
325,dated thermal alembic,dated thermal alembics,0,,Dated Thermal Alembic,35606,47,1
326,dated bronze mortar,dated bronze mortars,0,,Dated Bronze Mortar,35651,10,1
327,dated iron mortar,dated iron mortars,0,,Dated Iron Mortar,35652,27,1
328,dated steel mortar,dated steel mortars,0,,Dated Steel Mortar,35655,37,1
329,dated bronze skillet,dated bronze skillets,0,,Dated Bronze Skillet,35701,7,1
330,dated iron skillet,dated iron skillets,0,,Dated Iron Skillet,35702,12,1
331,dated white skillet,dated white skillets,0,,Dated White Skillet,35708,17,1
332,dated royal kitchens skillet,dated royal kitchens skillets,0,,Dated Royal Kitchens Skillet,35703,22,1
